- Experiencing mild symptoms, 20220601T0000,
- Developing high fever and difficulty breathing, 20220603T0000,
- Getting tested for Covid-19, 20220617T0000,
- Isolating from family, 20220617T0000,
- Receiving confirmation of virus, 20220620T0000,
- Contacting primary care physician, 20220620T0000,
- Prescribed medication for fever, 20220620T0000,
- Resting and drinking fluids, 20220620T0000,
- Gradually improving symptoms, 20220625T0000,
- Experiencing lingering fatigue, 20220625T0000,
- Experiencing occasional shortness of breath, 20220625T0000,
- Taking it easy and gradually increasing activity levels, 20220625T0000,
- Struggling to balance recovery with professional responsibilities, 20220625T0000,
- Temporarily delegating cases to colleagues, 20220625T0000,
- Prioritizing health, 20220625T0000,
- Practicing mindfulness and meditation, 20220625T0000,
- Seeking support from therapist, 20220625T0000,
- Getting vaccinated, 20220805T0000,
- Feeling relief and added protection, 20220805T0000,
- Reassessing priorities, 20220805T0000,
- Finding work-life balance, 20220805T0000,
- Creating meaningful time with loved ones, 20220805T0000,
