- Starting to experience COVID-19 symptoms, 20200401T0000, Duration: N/A,
- Self-isolating in rented apartment, 20200401T0000, Duration: N/A,
- Symptoms worsening, 20200402T0000, Duration: N/A,
- Contacting primary care physician, 20200403T0000, Duration: N/A,
- Monitoring symptoms at home, 20200403T0000, Duration: N/A,
- Seeking immediate medical attention, 20200407T0000, Duration: N/A,
- Admitted to specialized COVID-19 ward, 20200407T0000, Duration: N/A,
- Undergoing tests for confirmation, 20200407T0000, Duration: N/A,
- Testing positive for COVID-19, 20200407T0000, Duration: N/A,
- Receiving supportive care in hospital, 20200407T0000, Duration: 2 weeks,
- Oxygen therapy for breathing, 20200407T0000, Duration: N/A,
- Gradually regaining strength, 20200421T0000, Duration: N/A,
- Continuing self-isolation at home, 20200421T0000, Duration: 2 weeks,
- Following health authority guidelines, 20200421T0000, Duration: N/A,
- Getting vaccinated against COVID-19, 20210101T0000, Duration: N/A,
