Here are the updated bullet points with the corresponding event types:,
,
- Experiencing mild symptoms, 20211015T0000, 20211015T0000, 00:00:00, Symptom Onset,
- Symptoms worsening over time, 20211015T0000, 20211015T0000, 00:00:00, Symptom Onset,
- Contacting family doctor, 20211020T0000, 20211020T0000, 00:00:00, Doctor visit,
- Isolating at home, 20211020T0000, 20211020T0000, 00:00:00, Lifestyle Change,
- Monitoring symptoms closely, 20211020T0000, 20211020T0000, 00:00:00, Symptom Onset,
- Taking over-the-counter medication, 20211020T0000, 20211020T0000, 00:00:00, Medication,
- Warning to go to hospital if symptoms worsen, 20211020T0000, 20211020T0000, 00:00:00, Symptom Onset,
- Unable to breathe properly, 20211022T0000, 20211022T0000, 00:00:00, Symptom Onset,
- Rushed to nearest hospital, 20211022T0000, 20211022T0000, 00:00:00, Hospital admission,
- Admitted to hospital, 20211022T0000, 20211022T0000, 00:00:00, Hospital admission,
- Receiving oxygen therapy, 20211022T0000, 20211029T0000, 168:00:00, Treatment,
- Vital signs closely monitored, 20211022T0000, 20211029T0000, 168:00:00, Treatment,
- Medication provided for fever, 20211022T0000, 20211029T0000, 168:00:00, Medication,
- Discharged from hospital, 20211029T0000, 20211029T0000, 00:00:00, Hospital discharge,
- Continuing to isolate at home, 20211029T0000, 20211029T0000, 00:00:00, Lifestyle Change,
- Following necessary precautions, 20211029T0000, 20211029T0000, 00:00:00, Lifestyle Change,
- Seeking information about vaccines, 20211029T0000, 20211029T0000, 00:00:00, Lifestyle Change,
- Consulting with family doctor, 20211029T0000, 20211029T0000, 00:00:00, Doctor visit,
- Receiving first dose of vaccine, 20211125T0000, 20211125T0000, 00:00:00, Treatment,
- Following prescribed schedule, 20211125T0000, 20211216T0000, 504:00:00, Treatment,
- Receiving second dose of vaccine, 20211216T0000, 20211216T0000, 00:00:00, Treatment,
- Learning to prioritize health, 20211216T0000, 20211216T0000, 00:00:00, Lifestyle Change,
- Striking a better work-life balance, 20211216T0000, 20211216T0000, 00:00:00, Lifestyle Change,
- Becoming more conscious of self-care, 20211216T0000, 20211216T0000, 00:00:00, Lifestyle Change,
- Resilience of human spirit, 20211216T0000, 20211216T0000, 00:00:00, Feelings,
