- Experiencing first symptoms, 20220601T0000, 20220601T0000
- Developing high fever and difficulty breathing, 20220604T0000, 20220604T0000
- Getting tested for Covid-19, 20220617T0000, 20220617T0000
- Isolating from family, 20220617T0000, 20220620T0000
- Receiving confirmation of virus, 20220620T0000, 20220620T0000
- Contacting primary care physician, 20220620T0000, 20220620T0000
- Prescribed medication for fever, 20220620T0000, 20220620T0000
- Resting and hydrating, 20220620T0000, 20220620T0000
- Gradually improving symptoms, 20220620T0000, 20220630T0000
- Experiencing lingering fatigue, 20220620T0000, 20220630T0000
- Experiencing occasional shortness of breath, 20220620T0000, 20220630T0000
- Taking it easy and gradually increasing activity levels, 20220620T0000, 20220630T0000
- Reevaluating work-life balance, 20220620T0000, 20220630T0000
- Delegating cases and prioritizing health, 20220620T0000, 20220630T0000
- Practicing mindfulness and meditation, 20220620T0000, 20220630T0000
- Seeking support from therapist, 20220620T0000, 20220630T0000
- Getting vaccinated, 20220805T0000, 20220805T0000
- Feeling relief and added protection, 20220805T0000, 20220805T0000
- Reassessing priorities, 20220805T0000, 20220805T0000
- Finding meaningful time with loved ones, 20220805T0000, 20220805T0000
- Emphasizing self-care, 20220805T0000, 20220805T0000
- Striking a balance between professional success and personal fulfillment, 20220805T0000, 20220805T0000
