- Starting to experience symptoms, 20210715T0000,
- Developing persistent cough and fatigue, 20210715T0000,
- Dismissing symptoms as common cold, 20210715T0000,
- Symptoms worsening, 20210715T0000,
- Developing high fever and difficulty breathing, 20210715T0000,
- Contacting primary care physician, 20210715T0000,
- Advised to self-isolate, 20210715T0000,
- Getting tested for Covid-19, 20210716T0000,
- Test confirming virus contraction, 20210716T0000,
- Symptoms intensifying, 20210716T0000,
- Struggling to manage responsibilities, 20210716T0000,
- Husband taking over household chores, 20210716T0000,
- Consulting with Dr. Müller, 20210716T0000,
- Prescribed medication for symptom relief, 20210716T0000,
- Monitoring condition closely, 20210716T0000,
- Symptoms gradually subsiding, 20210716T0000,
- Regaining strength, 20210716T0000,
- Witnessing devastating effects of pandemic, 20210716T0000,
- Fueling determination to fight for justice, 20210716T0000,
- Becoming actively involved in advocating for better healthcare resources, 20210716T0000,
- Getting vaccinated to protect self and loved ones, 20210716T0000,
- Receiving both doses of vaccine, 20210716T0000,
- Encouraging others to get vaccinated, 20210716T0000,
- Feeling relief and optimism, 20210716T0000,
- Learning importance of resilience, 20210716T0000,
- Valuing community support, 20210716T0000,
- Strengthening commitment to fighting for justice and equitable society, 20210716T0000,
