- Experiencing mild symptoms, 20210715T0000, 20210715T0000, 00:00:00,
- Isolating at home, 20210715T0000, 20210715T0000, 00:00:00,
- Informing school administration, 20210715T0000, 20210715T0000, 00:00:00,
- Symptoms worsening, 20210719T0000, 20210719T0000, 00:00:00,
- Developing high fever, 20210719T0000, 20210719T0000, 00:00:00,
- Experiencing difficulty breathing, 20210719T0000, 20210719T0000, 00:00:00,
- Monitoring symptoms at home, 20210719T0000, 20210724T0000, 120:00:00,
- Seeking medical help, 20210724T0000, 20210724T0000, 00:00:00,
- Visiting local hospital, 20210724T0000, 20210724T0000, 00:00:00,
- Undergoing tests, 20210724T0000, 20210724T0000, 00:00:00,
- Admitted to hospital, 20210724T0000, 20210731T0000, 168:00:00,
- Receiving treatments, 20210724T0000, 20210731T0000, 168:00:00,
- Showing signs of improvement, 20210731T0000, 20210731T0000, 00:00:00,
- Discharged from hospital, 20210801T0000, 20210801T0000, 00:00:00,
- Continuing self-isolating at home, 20210801T0000, 20210801T0000, 00:00:00,
- Monitoring symptoms closely, 20210801T0000, 20210801T0000, 00:00:00,
- Receiving Covid-19 vaccine, 20220215T0000, 20220215T0000, 00:00:00,
- Taking necessary precautions, 20220215T0000, 20220215T0000, 00:00:00,
- Receiving second vaccine dose, 20220308T0000, 20220308T0000, 00:00:00,
- Support from family/friends/and colleagues, 20210715T0000, 20210715T0000, 00:00:00,
- Importance of health and resilience, 20210715T0000, 20210715T0000, 00:00:00,
