- Experiencing first symptoms, 20210715T0000,
- Developing persistent cough and fatigue, 20210715T0000,
- Developing high fever and difficulty breathing, 20210715T0000,
- Contacting primary care physician, 20210715T0000,
- Self-isolating and getting tested, 20210716T0000,
- Testing positive for Covid-19, 20210716T0000,
- Symptoms intensifying over time, 20210716T0000,
- Consulting with Dr. Müller, 20210716T0000,
- Prescribed medication for symptoms, 20210716T0000,
- Symptoms gradually subsiding, 20210716T0000,
- Regaining strength, 20210716T0000,
- Getting vaccinated, 20210716T0000,
- Encouraging others to get vaccinated, 20210716T0000,
- Learning importance of resilience, 20210716T0000,
- Advocating for better healthcare resources, 20210716T0000,
