2024-04-03 10:07:45,622 - {'calling_function_name': '__spellcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 40, 'tokens_used': 1289}
2024-04-03 10:07:53,570 - {'calling_function_name': '__punctuationcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 50, 'tokens_used': 1338}
2024-04-03 10:08:02,891 - {'calling_function_name': '__identify_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 60, 'tokens_used': 1551}
2024-04-03 10:08:10,017 - {'calling_function_name': '__transform_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 70, 'tokens_used': 1622}
2024-04-03 10:08:19,009 - {'calling_function_name': '__interpret_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 90, 'tokens_used': 1550}
2024-04-03 10:08:27,740 - {'calling_function_name': '__calculate_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 80, 'tokens_used': 1602}
2024-04-03 10:08:30,179 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 874}
2024-04-03 10:08:31,602 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 1038}
2024-04-03 10:08:32,908 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 984}
2024-04-03 10:08:34,380 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 947}
2024-04-03 10:08:37,305 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 948}
2024-04-03 10:08:40,014 - {'calling_function_name': '__extract_activities', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_activity_labeler.py', 'calling_line': 39, 'tokens_used': 1315}
2024-04-03 10:08:41,488 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 862}
2024-04-03 10:08:42,713 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 868}
2024-04-03 10:08:44,071 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 860}
