Placeholder for log data
2024-04-18 12:10:59,471 - {'calling_function_name': '__extract_activities', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_activity_labeler.py', 'calling_line': 39, 'tokens_used': 386, 'input_tokens_used': 375, 'output_tokens_used': 11}
2024-04-18 12:11:00,036 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 237, 'input_tokens_used': 233, 'output_tokens_used': 4}
2024-04-18 12:11:00,578 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 198, 'input_tokens_used': 197, 'output_tokens_used': 1}
2024-04-18 12:11:01,114 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 569, 'input_tokens_used': 563, 'output_tokens_used': 6}
2024-04-18 12:11:01,704 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 713, 'input_tokens_used': 707, 'output_tokens_used': 6}
2024-04-18 12:11:20,324 - {'calling_function_name': 'get_life_circumstances', 'calling_file': '/Users/pit/TracEX/tracex_project/patient_journey_generator/generator.py', 'calling_line': 141, 'tokens_used': 143, 'input_tokens_used': 99, 'output_tokens_used': 44}
2024-04-18 12:11:26,103 - {'calling_function_name': 'generate_patient_journey', 'calling_file': '/Users/pit/TracEX/tracex_project/patient_journey_generator/generator.py', 'calling_line': 20, 'tokens_used': 498, 'input_tokens_used': 217, 'output_tokens_used': 281}
2024-04-18 12:12:38,236 - {'calling_function_name': '__spellcheck', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 45, 'tokens_used': 688, 'input_tokens_used': 407, 'output_tokens_used': 281}
2024-04-18 12:12:43,801 - {'calling_function_name': '__punctuationcheck', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 55, 'tokens_used': 737, 'input_tokens_used': 456, 'output_tokens_used': 281}
2024-04-18 12:12:49,638 - {'calling_function_name': '__identify_timestamps', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 65, 'tokens_used': 938, 'input_tokens_used': 656, 'output_tokens_used': 282}
2024-04-18 12:12:55,272 - {'calling_function_name': '__transform_timestamps', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 75, 'tokens_used': 1025, 'input_tokens_used': 744, 'output_tokens_used': 281}
2024-04-18 12:13:00,677 - {'calling_function_name': '__interpret_timestamps', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 95, 'tokens_used': 1006, 'input_tokens_used': 725, 'output_tokens_used': 281}
2024-04-18 12:13:06,534 - {'calling_function_name': '__calculate_timestamps', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 85, 'tokens_used': 967, 'input_tokens_used': 686, 'output_tokens_used': 281}
2024-04-18 12:13:09,889 - {'calling_function_name': '__extract_activities', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_activity_labeler.py', 'calling_line': 39, 'tokens_used': 788, 'input_tokens_used': 665, 'output_tokens_used': 123}
